Modele,Famille,Taille (B),Baseline Acc,RAG-FR Acc,Delta FR (abs),Delta FR (rel%),HR@5 FR,MRR@5 FR,RAG-EN Acc,Delta EN (abs),Delta EN (rel%),HR@5 EN,MRR@5 EN,Gain EN-FR (abs),Gain EN-FR (rel%),RAG Acc,Delta Acc,Delta Acc (abs),Delta Acc (rel%),Hit Rate@5,MRR@5,Baseline F1,RAG F1,Delta F1 (abs),Delta F1 (rel%),Temps Baseline (s),Temps RAG (s),Efficacite
Qwen3-0.6B,Qwen,0.6,0.275,0.26,-0.015,-5.5,0.06,0.03666666666666667,0.245,-0.03,-10.9,0.175,0.10074999999999999,-0.015,-5.8,0.26,-0.015000000000000013,-0.015,-5.5,0.06,0.03666666666666667,0.000625,0.0038888888888888883,0.0033,522.2,119.85594129562378,199.76226687431335,0.43333333333333335
Qwen3-1.7B,Qwen,1.7,0.39,0.335,-0.055,-14.1,0.06,0.03666666666666667,0.355,-0.035,-9.0,0.175,0.10074999999999999,0.02,6.0,0.335,-0.05499999999999999,-0.055,-14.1,0.06,0.03666666666666667,0.005824346405228758,0.008680555555555556,0.0029,49.0,97.38199281692505,285.1197364330292,0.1970588235294118
Llama-3.2-1B,Llama,1.0,0.275,0.205,-0.07,-25.5,0.06,0.03666666666666667,0.29,0.015,5.5,0.175,0.10074999999999999,0.085,41.5,0.205,-0.07000000000000003,-0.07,-25.5,0.06,0.03666666666666667,0.006196751777634131,0.002394230769230769,-0.0038,-61.4,135.47213196754456,306.4529559612274,0.205
Llama-3.2-3B,Llama,3.0,0.27,0.23,-0.04,-14.8,0.06,0.03666666666666667,0.32,0.05,18.5,0.175,0.10074999999999999,0.09,39.1,0.23,-0.04000000000000001,-0.04,-14.8,0.06,0.03666666666666667,0.0017687908496732024,0.0047132352941176466,0.0029,166.5,270.9300456047058,577.0728781223297,0.07666666666666667
