Modele,Famille,Taille (B),Baseline Acc@1,RAG Acc@1,Delta Acc@1 (abs),Delta Acc@1 (rel%),Baseline HR@3,RAG HR@3,Delta HR@3 (rel%),Baseline MRR,RAG MRR,Delta MRR (rel%),Baseline F1,RAG F1,Delta F1 (rel%),Retrieval HR,Temps Baseline (s),Temps RAG (s)
Qwen3-0.6B,Qwen,0.6,0.56,0.57,0.01,1.8,0.57,0.57,0.0,0.565,0.57,0.9,0.5225411255411255,0.5439047619047619,4.1,0.48,35.56581234931946,54.573344469070435
Qwen3-1.7B,Qwen,1.7,0.59,0.59,0.0,0.0,0.59,0.59,0.0,0.59,0.59,0.0,0.595,0.599,0.7,0.48,50.67161011695862,78.36783742904663
Llama-3.2-1B,Llama,1.0,0.52,0.41,-0.11,-21.2,0.54,0.41,-24.1,0.53,0.41,-22.6,0.523,0.4286666666666667,-18.0,0.48,39.56393265724182,55.43862557411194
Llama-3.2-3B,Llama,3.0,0.7,0.54,-0.16,-22.9,0.71,0.54,-23.9,0.705,0.54,-23.4,0.7,0.545,-22.1,0.48,90.22018337249756,139.46420693397522
