Modele,Famille,Taille (B),Baseline Acc,RAG-FR Acc,Delta FR (abs),Delta FR (rel%),HR@5 FR,MRR@5 FR,RAG-EN Acc,Delta EN (abs),Delta EN (rel%),HR@5 EN,MRR@5 EN,Gain EN-FR (abs),Gain EN-FR (rel%),RAG Acc,Delta Acc,Delta Acc (abs),Delta Acc (rel%),Hit Rate@5,MRR@5,Baseline F1,RAG F1,Delta F1 (abs),Delta F1 (rel%),Temps Baseline (s),Temps RAG (s),Efficacité
Qwen3-0.6B,Qwen,0.6,0.42,0.415,-0.005,-1.2,0.075,0.04641666666666667,0.38,-0.04,-9.5,0.19,0.11875,-0.035,-8.4,0.415,-0.0050000000000000044,-0.005,-1.2,0.075,0.04641666666666667,0.0,0.0,0.0,0,91.78700542449951,149.4030270576477,0.6916666666666667
Qwen3-1.7B,Qwen,1.7,0.585,0.605,0.02,3.4,0.075,0.04641666666666667,0.615,0.03,5.1,0.19,0.11875,0.01,1.7,0.605,0.020000000000000018,0.02,3.4,0.075,0.04641666666666667,0.0,0.0,0.0,0,87.27654361724854,254.08924961090088,0.3558823529411765
Llama-3.2-1B,Llama,1.0,0.33,0.335,0.005,1.5,0.075,0.04641666666666667,0.275,-0.055,-16.7,0.19,0.11875,-0.06,-17.9,0.335,0.0050000000000000044,0.005,1.5,0.075,0.04641666666666667,0.0,0.0,0.0,0,150.4655373096466,299.5535583496094,0.335
Llama-3.2-3B,Llama,3.0,0.565,0.485,-0.08,-14.2,0.075,0.04641666666666667,0.495,-0.07,-12.4,0.19,0.11875,0.01,2.1,0.485,-0.07999999999999996,-0.08,-14.2,0.075,0.04641666666666667,0.0,0.0,0.0,0,136.1329550743103,478.630007982254,0.16166666666666665
